date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:59:07	137/137	---MCZ	200	added ('OK')	text/plain	date:Thu,%2010%20Jul%202025%2017:29:06%20GMT	https://greenturflandscaping.com.au/robots.txt		(from )
22:59:08	1152575/1152575	---MCZ	200	added ('OK')	text/html	date:Thu,%2010%20Jul%202025%2017:29:07%20GMT	https://greenturflandscaping.com.au/	C:/Users/akhlaq/Desktop/Documents/Rehman%20Website/greenturf/greenturflandscaping.com.au/index.html	(from )
22:59:09	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2010%20Jul%202025%2017:29:09%20GMT	http://greenturflandscaping.com.au/wp-content/plugins/elementor/assets/lib/eicons/fonts/eicons.eot?5.35.0	C:/Users/akhlaq/Desktop/Documents/Rehman%20Website/greenturf/greenturflandscaping.com.au/wp-content/plugins/elementor/assets/lib/eicons/fonts/eicons.16feb.delayed	(from https://greenturflandscaping.com.au/)
22:59:09	45116/45116	---MCZ	200	added ('OK')	image/png	etag:W/%22657b26c7-b03c%22	https://greenturflandscaping.com.au/wp-content/uploads/2023/12/logo-green-turf-1024x290.png	C:/Users/akhlaq/Desktop/Documents/Rehman%20Website/greenturf/greenturflandscaping.com.au/wp-content/uploads/2023/12/logo-green-turf-1024x290.png	(from https://greenturflandscaping.com.au/)
22:59:10	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2010%20Jul%202025%2017:29:10%20GMT	http://greenturflandscaping.com.au/wp-content/plugins/master-addons/assets/images/symbols.svg	C:/Users/akhlaq/Desktop/Documents/Rehman%20Website/greenturf/greenturflandscaping.com.au/wp-content/plugins/master-addons/assets/images/symbols.svg	(from https://greenturflandscaping.com.au/)
22:59:10	221440/221440	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2267bc7aec-36100%22	https://greenturflandscaping.com.au/wp-content/plugins/elementor/assets/lib/eicons/fonts/eicons.eot?5.35.0?5.35.0	C:/Users/akhlaq/Desktop/Documents/Rehman%20Website/greenturf/greenturflandscaping.com.au/wp-content/plugins/elementor/assets/lib/eicons/fonts/eiconsec2a.eot	(from https://greenturflandscaping.com.au/)
22:59:12	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2010%20Jul%202025%2017:29:10%20GMT	http://greenturflandscaping.com.au/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-solid-900.eot	C:/Users/akhlaq/Desktop/Documents/Rehman%20Website/greenturf/greenturflandscaping.com.au/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-solid-900.eot	(from https://greenturflandscaping.com.au/)
22:59:12	35726/35726	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2267bc7af7-8b8e%22	https://greenturflandscaping.com.au/wp-content/plugins/master-addons/assets/images/symbols.svg	C:/Users/akhlaq/Desktop/Documents/Rehman%20Website/greenturf/greenturflandscaping.com.au/wp-content/plugins/master-addons/assets/images/symbols.svg	(from https://greenturflandscaping.com.au/)
22:59:13	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2010%20Jul%202025%2017:29:12%20GMT	http://greenturflandscaping.com.au/wp-content/plugins/master-addons/assets/fonts/iconic-fonts/iconic-font.woff2	C:/Users/akhlaq/Desktop/Documents/Rehman%20Website/greenturf/greenturflandscaping.com.au/wp-content/plugins/master-addons/assets/fonts/iconic-fonts/iconic-font.woff2	(from https://greenturflandscaping.com.au/)
22:59:14	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2010%20Jul%202025%2017:29:13%20GMT	http://greenturflandscaping.com.au/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-brands-400.eot	C:/Users/akhlaq/Desktop/Documents/Rehman%20Website/greenturf/greenturflandscaping.com.au/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-brands-400.eot	(from https://greenturflandscaping.com.au/)
22:59:15	29080/29080	---M--	200	added ('OK')	application/octet-stream	etag:%2267bc7af7-7198%22	https://greenturflandscaping.com.au/wp-content/plugins/master-addons/assets/fonts/iconic-fonts/iconic-font.woff2	C:/Users/akhlaq/Desktop/Documents/Rehman%20Website/greenturf/greenturflandscaping.com.au/wp-content/plugins/master-addons/assets/fonts/iconic-fonts/iconic-font.woff2	(from https://greenturflandscaping.com.au/)
22:59:15	203030/203030	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2267bc7aec-31916%22	https://greenturflandscaping.com.au/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-solid-900.eot	C:/Users/akhlaq/Desktop/Documents/Rehman%20Website/greenturf/greenturflandscaping.com.au/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-solid-900.eot	(from https://greenturflandscaping.com.au/)
22:59:15	1151/1151	---MCZ	200	added ('OK')	text/css	etag:W/%226799f404-47f%22	https://greenturflandscaping.com.au/wp-content/cache/autoptimize/css/autoptimize_single_dc863b1ef19fe05c36d0a771da577769.css	C:/Users/akhlaq/Desktop/Documents/Rehman%20Website/greenturf/greenturflandscaping.com.au/wp-content/cache/autoptimize/css/autoptimize_single_dc863b1ef19fe05c36d0a771da577769.css	(from https://greenturflandscaping.com.au/)
